region_name,region_code,mosque_name,mosque_code
حي الجهاد,JHD,جامع الحميد المجيد,HAM
حي الجهاد,JHD,جامع الرحمن,RAH
حي الجهاد,JHD,جامع حي الفرات,FUR
حي الجهاد,JHD,جامع محمد رسول الله,MRL
حي الجهاد,JHD,جامع السيد محمد ابراهيم السامرائي,SAM
حي الجهاد,JHD,جامع النور,NOR
حي الجهاد,JHD,جامع فخري ابراهيم شنشل,SHN
حي الجهاد,JHD,جامع الحاجة مديحة معارج الجنابي,JNB
حي الجهاد,JHD,جامع لا اله الا الله,LAH
حي الجهاد,JHD,جامع القدوس,QDS
حي الجهاد,JHD,جامع الدراجي,DRJ
حي الجهاد,JHD,جامع حي الحسين,HUS
حي الجهاد,JHD,جامع تبوك الحسين,TBH
حي الجهاد,JHD,جامع السلام,SLM
حي الجهاد,JHD,صلاح الدين,SLH
حي الجهاد,JHD,جامع المدينة المنوره,MDN
السيدية,SYD,جامع الصديق,SDQ
السيدية,SYD,جامع الفتيان,FTY
السيدية,SYD,جامع ابراهيم الخليل,IBR
السيدية,SYD,جامع سعيد بن جبير,SBJ
السيدية,SYD,جامع معاذ بن جبل,MJB
السيدية,SYD,جامع شاكر عبود,SHA
السيدية,SYD,جامع الكبيسي,KBS
السيدية,SYD,جامع الهدى,HDA
السيدية,SYD,جامع بلاط الشهداء,BLS
السيدية,SYD,جامع الاقصى,AQS
الدورة,DOR,أبوبكر الصديق,SDQ
الدورة,DOR,الواحد الأحد,AHD
الدورة,DOR,د.عبدألمجيد عبد الله السالم,SAL
الدورة,DOR,مالك الملك,MLK
الدورة,DOR,المعتصم,MUT
الدورة,DOR,ذو النورين عثمان بن عفان,OTH
الدورة,DOR,عمر بن عبد العزيز,UMA
الدورة,DOR,خالد بن الوليد,KHA
الدورة,DOR,مكه المكرمه,MKA
الدورة,DOR,شاهين الكبيسي,KBS
الدورة,DOR,التقوى,TQW
الدورة,DOR,صهيب الرومي,SHB
الدورة,DOR,العباس,ABS
الدورة,DOR,الإسكان الشعبي,ISK
الدورة,DOR,محمود معروف,MAR
الدورة,DOR,ابي الحسنين,HSN
الدورة,DOR,ثوبان,THB
الدورة,DOR,الأرقم بن أبي الأرقم,ARQ
الدورة,DOR,التوحيد,TWH
الدورة,DOR,الهاشميه,HSH
الدورة,DOR,يس,YAS
الدورة,DOR,الرحمن,RHM
الدورة,DOR,حاتم السعدون,HAT
الدورة,DOR,المدينة المنورة,MDN
الدورة,DOR,الجميلي,JML
الدورة,DOR,انوار المصطفى,ANW
الدورة,DOR,أحباب المصطفى,AHB
الدورة,DOR,كامل العبود,KAM
الدورة,DOR,مثنى الشكرجي,MTH
الدورة,DOR,الخليل ابراهيم,KHL
